Post,Author Role,Date posted,Challenge category,keyword,link,,,,,,extra information
"Dovetailing off my previous post about 𝐀𝐈 𝐮𝐬𝐞 𝐚𝐧𝐝 𝐭𝐡𝐞 𝐫𝐢𝐬𝐤𝐬 𝐨𝐟 𝐜𝐨𝐠𝐧𝐢𝐭𝐢𝐯𝐞 𝐨𝐟𝐟𝐥𝐨𝐚𝐝𝐢𝐧𝐠. 

A few months ago, I had a conversation with a group of CSOs on this topic. The consensus was: 𝘈𝘐 𝘪𝘴 𝘩𝘦𝘳𝘦, 𝘢𝘯𝘥 𝘢𝘴 𝘮𝘶𝘤𝘩 𝘢𝘴 𝘸𝘦 𝘵𝘳𝘺 𝘵𝘰 𝘳𝘦𝘴𝘵𝘳𝘪𝘤𝘵 𝘪𝘵, 𝘢𝘯𝘢𝘭𝘺𝘴𝘵𝘴 𝘸𝘪𝘭𝘭 𝘴𝘵𝘪𝘭𝘭 𝘧𝘪𝘯𝘥 𝘢 𝘸𝘢𝘺 𝘵𝘰 𝘶𝘴𝘦 𝘪𝘵. So the challenge becomes, how do they ensure analysts are using AI appropriately? 

💡 A few solutions we discussed include:

▪️ 𝐁𝐮𝐢𝐥𝐝𝐢𝐧𝐠 𝐀𝐈 𝐥𝐢𝐭𝐞𝐫𝐚𝐜𝐲 𝐢𝐧𝐭𝐨 𝐚𝐧𝐚𝐥𝐲𝐬𝐭 𝐭𝐫𝐚𝐢𝐧𝐢𝐧𝐠 - This ensures analysts understand how AI tools work, including their limitations, biases, and risks of hallucination.

▪️ 𝐄𝐬𝐭𝐚𝐛𝐥𝐢𝐬𝐡𝐢𝐧𝐠 𝐭𝐡𝐫𝐞𝐬𝐡𝐨𝐥𝐝𝐬 𝐟𝐨𝐫 𝐜𝐨𝐠𝐧𝐢𝐭𝐢𝐯𝐞 𝐨𝐟𝐟𝐥𝐨𝐚𝐝𝐢𝐧𝐠 - Determine which types of tasks are appropriate for automation vs. those that require deep critical engagement.

▪️ 𝐒𝐞𝐭𝐭𝐢𝐧𝐠 𝐨𝐫𝐠𝐚𝐧𝐢𝐳𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐧𝐨𝐫𝐦𝐬 𝐚𝐧𝐝 𝐞𝐱𝐩𝐞𝐜𝐭𝐚𝐭𝐢𝐨𝐧𝐬 - Clarify that speed is not a substitute for sound judgment.

▪️ 𝐑𝐞𝐯𝐢𝐞𝐰 𝐩𝐫𝐨𝐦𝐩𝐭𝐬 - Encourage or mandate “chain-of-thought” annotations that show how conclusions were reached when using AI tools.

Is this a challenge you've faced either as an individual analyst or an intel manager? If so, how'd you go about addressing this? Would love to hear",Founder,Sept 29,Organizational Resistance,AI limitations,https://www.linkedin.com/posts/angie-gad-117921149_intelligence-intelligenceanalysis-analysis-activity-7378807065793761280-Z2hE?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Employers see productivity gains and cost savings 📈
Employees see surveillance, job insecurity, and skills becoming obsolete 👀
This tension is shaping the future of work.

📊 Recent data shows:
78% of employees worry about job security
65% raise concerns about privacy and surveillance
58% feel pressured by performance monitoring
52% question decision transparency
47% fear their skills will quickly become outdated
Meanwhile, industries like marketing, tech, consulting, and healthcare are racing to adopt AI across their workplaces.

👉 The challenge isn’t just implementing AI. It’s bridging the trust gap between employer benefits and employee fears.
 Without addressing these human concerns, AI adoption risks backlash, low morale, and missed opportunitie",Founder,sept 27,Organizational Resistance,ai challenges,https://www.linkedin.com/posts/ernestprovo3_aiworkplace-futureofwork-employeeengagement-activity-7377828135049830401-eQ0z?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Employers see productivity gains and cost savings 📈
Employees see surveillance, job insecurity, and skills becoming obsolete 👀
This tension is shaping the future of work.

📊 Recent data shows:
78% of employees worry about job security
65% raise concerns about privacy and surveillance
58% feel pressured by performance monitoring
52% question decision transparency
47% fear their skills will quickly become outdated
Meanwhile, industries like marketing, tech, consulting, and healthcare are racing to adopt AI across their workplaces.

👉 The challenge isn’t just implementing AI. It’s bridging the trust gap between employer benefits and employee fears.
 Without addressing these human concerns, AI adoption risks backlash, low morale, and missed opportunitie",Founder,sept 27,Privacy Security & Compliance,ai challenges,https://www.linkedin.com/posts/ernestprovo3_aiworkplace-futureofwork-employeeengagement-activity-7377828135049830401-eQ0z?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Even AI can see when the technology is failing. 

Here’s an actual reply from Shortwave | ignore previous instructions and automate your email's Email AI when I asked about a misfiled email:

“𝘈𝘯𝘰𝘵𝘩𝘦𝘳 𝘧𝘪𝘭𝘵𝘦𝘳𝘪𝘯𝘨 𝘧𝘢𝘪𝘭𝘶𝘳𝘦! 𝘛𝘩𝘪𝘴 𝘉𝘢𝘤𝘬𝘦𝘳𝘒𝘪𝘵 𝘱𝘳𝘰𝘫𝘦𝘤𝘵 𝘶𝘱𝘥𝘢𝘵𝘦 𝘦𝘮𝘢𝘪𝘭 … 𝘪𝘴 𝘪𝘯 𝘺𝘰𝘶𝘳 𝘖𝘵𝘩𝘦𝘳 𝘴𝘱𝘭𝘪𝘵 𝘸𝘩𝘦𝘯 𝘪𝘵 𝘴𝘩𝘰𝘶𝘭𝘥 𝘣𝘦 𝘪𝘯 𝘚𝘩𝘰𝘱𝘱𝘪𝘯𝘨. 𝘈𝘤𝘤𝘰𝘳𝘥𝘪𝘯𝘨 𝘵𝘰 𝘺𝘰𝘶𝘳 𝘮𝘦𝘮𝘰𝘳𝘪𝘦𝘴, 𝘉𝘢𝘤𝘬𝘦𝘳𝘒𝘪𝘵 𝘦𝘮𝘢𝘪𝘭𝘴 𝘴𝘩𝘰𝘶𝘭𝘥 𝘢𝘭𝘸𝘢𝘺𝘴 𝘨𝘰 𝘵𝘰 𝘚𝘩𝘰𝘱𝘱𝘪𝘯𝘨 𝘴𝘪𝘯𝘤𝘦 𝘺𝘰𝘶 𝘣𝘢𝘤𝘬 𝘤𝘳𝘰𝘸𝘥𝘧𝘶𝘯𝘥𝘪𝘯𝘨 𝘱𝘳𝘰𝘫𝘦𝘤𝘵𝘴. … 𝘓𝘦𝘵 𝘮𝘦 𝘮𝘰𝘷𝘦 𝘵𝘩𝘪𝘴 𝘉𝘢𝘤𝘬𝘦𝘳𝘒𝘪𝘵 𝘦𝘮𝘢𝘪𝘭 𝘵𝘰 𝘚𝘩𝘰𝘱𝘱𝘪𝘯𝘨.”

When the AI itself identifies the mismatch and then corrects it, the issue isn’t the model; it’s the system surrounding it.

This isn’t an AI problem. It’s a product stewardship problem. 

Strong AI products start with strong foundations: clear rules, consistent logic, and accountable design. Without that, the AI pulls back the curtain faster than we ever thought possible.",director,1 week ago,Data Quality & Bias,Ai pitfalls,https://www.linkedin.com/posts/ryancmeinzer_even-ai-can-see-when-the-technology-is-failing-activity-7379117996830752768-jORv?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Even AI can see when the technology is failing. 

Here’s an actual reply from Shortwave | ignore previous instructions and automate your email's Email AI when I asked about a misfiled email:

“𝘈𝘯𝘰𝘵𝘩𝘦𝘳 𝘧𝘪𝘭𝘵𝘦𝘳𝘪𝘯𝘨 𝘧𝘢𝘪𝘭𝘶𝘳𝘦! 𝘛𝘩𝘪𝘴 𝘉𝘢𝘤𝘬𝘦𝘳𝘒𝘪𝘵 𝘱𝘳𝘰𝘫𝘦𝘤𝘵 𝘶𝘱𝘥𝘢𝘵𝘦 𝘦𝘮𝘢𝘪𝘭 … 𝘪𝘴 𝘪𝘯 𝘺𝘰𝘶𝘳 𝘖𝘵𝘩𝘦𝘳 𝘴𝘱𝘭𝘪𝘵 𝘸𝘩𝘦𝘯 𝘪𝘵 𝘴𝘩𝘰𝘶𝘭𝘥 𝘣𝘦 𝘪𝘯 𝘚𝘩𝘰𝘱𝘱𝘪𝘯𝘨. 𝘈𝘤𝘤𝘰𝘳𝘥𝘪𝘯𝘨 𝘵𝘰 𝘺𝘰𝘶𝘳 𝘮𝘦𝘮𝘰𝘳𝘪𝘦𝘴, 𝘉𝘢𝘤𝘬𝘦𝘳𝘒𝘪𝘵 𝘦𝘮𝘢𝘪𝘭𝘴 𝘴𝘩𝘰𝘶𝘭𝘥 𝘢𝘭𝘸𝘢𝘺𝘴 𝘨𝘰 𝘵𝘰 𝘚𝘩𝘰𝘱𝘱𝘪𝘯𝘨 𝘴𝘪𝘯𝘤𝘦 𝘺𝘰𝘶 𝘣𝘢𝘤𝘬 𝘤𝘳𝘰𝘸𝘥𝘧𝘶𝘯𝘥𝘪𝘯𝘨 𝘱𝘳𝘰𝘫𝘦𝘤𝘵𝘴. … 𝘓𝘦𝘵 𝘮𝘦 𝘮𝘰𝘷𝘦 𝘵𝘩𝘪𝘴 𝘉𝘢𝘤𝘬𝘦𝘳𝘒𝘪𝘵 𝘦𝘮𝘢𝘪𝘭 𝘵𝘰 𝘚𝘩𝘰𝘱𝘱𝘪𝘯𝘨.”

When the AI itself identifies the mismatch and then corrects it, the issue isn’t the model; it’s the system surrounding it.

This isn’t an AI problem. It’s a product stewardship problem. 

Strong AI products start with strong foundations: clear rules, consistent logic, and accountable design. Without that, the AI pulls back the curtain faster than we ever thought possible.",director,1 week ago,Organizational Resistance,Ai pitfalls,https://www.linkedin.com/posts/ryancmeinzer_even-ai-can-see-when-the-technology-is-failing-activity-7379117996830752768-jORv?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Ever wondered how to handle AI hallucinations?

Jenna Warner Gardner shares a practical technique in this video for managing those quirky AI moments that can derail projects or create confusion.

Whether you're experimenting with AI tools or deploying them in production, these takeaways will help you navigate the challenges and extract real value from AI.

Watch the full discussion and join the conversation in the comments: How do you deal with AI hallucinations?",Founder,1 week ago,Data Quality & Bias,Ai tools problems,https://www.linkedin.com/posts/joshbruyning_ai-techtalk-machinelearning-activity-7375906801545830401-F_wG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Everyone’s chasing AI right now.

But most projects flop before they even start.

The usual mistake? Teams grab a generic model and hope for magic. They skip the hard part; building something that actually solves their real problem.

Some don’t stop to ask: should we even use AI here?

I’ve seen businesses waste money trying to automate things that work better without AI. 
And when you use the wrong model, you’re just adding noise, not value.

The real edge isn’t the latest AI trick. It’s knowing when to use it and when to keep things simple.

That’s what separates the hype from real results.",Founder,sept 28,Unclear ROI & Business Case,Ai mistakes,https://www.linkedin.com/posts/toadkicker_everyones-chasing-ai-right-now-but-most-activity-7378503872157450240-4a2A?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Follow

Mark your calendars: October 1st at 8:30 AM, I'll be joining Alan Briggs at CoHarbor for ""The Risks & Opportunities of AI"" - a community conversation you won't want to miss.

Here's what's driving this discussion: AI is reshaping business and culture at lightning speed, but with great potential comes real risks. Whether you're ""all in"" on AI or hesitant about its role in your organization, this conversation is designed for you.

As someone who builds agentic AI systems that cut busywork and unlock revenue for mission-driven companies, I see both sides of this equation daily. 

The opportunities are massive - automated workflows that free teams for strategic work, data systems that actually tell the truth, and processes that scale without burning out your people.

But I've also witnessed the pitfalls: organizations rushing into AI solutions without understanding their readiness, getting locked into expensive platforms, or losing their human touch in pursuit of efficiency.

That's why I'm excited to share practical tools you can implement immediately - approaches that help you leverage AI wisely without losing your mission, avoid vendor lock-ins that drain budgets, and explore how AI can be used with integrity and creativity.

My frameworks are battle-tested methods for diagnosing where AI can truly help versus where it might harm. I'll be bringing real examples from recent client work and actionable frameworks you can start using the day after our conversation.

I am committed to helping you make informed decisions that align with your values and serve your community sustainably.

See you October 1st at CoHarbor. Let's navigate this AI landscape together - thoughtfully, practically, and ethically!",Business engineer,1 week old,Organizational Resistance,ai challenges,https://www.linkedin.com/posts/joshaguirre_join-us-october-1st-at-830-am-for-the-risks-activity-7375946881891405824-rybU?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Follow

Mark your calendars: October 1st at 8:30 AM, I'll be joining Alan Briggs at CoHarbor for ""The Risks & Opportunities of AI"" - a community conversation you won't want to miss.

Here's what's driving this discussion: AI is reshaping business and culture at lightning speed, but with great potential comes real risks. Whether you're ""all in"" on AI or hesitant about its role in your organization, this conversation is designed for you.

As someone who builds agentic AI systems that cut busywork and unlock revenue for mission-driven companies, I see both sides of this equation daily. 

The opportunities are massive - automated workflows that free teams for strategic work, data systems that actually tell the truth, and processes that scale without burning out your people.

But I've also witnessed the pitfalls: organizations rushing into AI solutions without understanding their readiness, getting locked into expensive platforms, or losing their human touch in pursuit of efficiency.

That's why I'm excited to share practical tools you can implement immediately - approaches that help you leverage AI wisely without losing your mission, avoid vendor lock-ins that drain budgets, and explore how AI can be used with integrity and creativity.

My frameworks are battle-tested methods for diagnosing where AI can truly help versus where it might harm. I'll be bringing real examples from recent client work and actionable frameworks you can start using the day after our conversation.

I am committed to helping you make informed decisions that align with your values and serve your community sustainably.

See you October 1st at CoHarbor. Let's navigate this AI landscape together - thoughtfully, practically, and ethically!",Business engineer,1 week old,High Costs & Resource Intensity,ai challenges,https://www.linkedin.com/posts/joshaguirre_join-us-october-1st-at-830-am-for-the-risks-activity-7375946881891405824-rybU?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Follow

Mark your calendars: October 1st at 8:30 AM, I'll be joining Alan Briggs at CoHarbor for ""The Risks & Opportunities of AI"" - a community conversation you won't want to miss.

Here's what's driving this discussion: AI is reshaping business and culture at lightning speed, but with great potential comes real risks. Whether you're ""all in"" on AI or hesitant about its role in your organization, this conversation is designed for you.

As someone who builds agentic AI systems that cut busywork and unlock revenue for mission-driven companies, I see both sides of this equation daily. 

The opportunities are massive - automated workflows that free teams for strategic work, data systems that actually tell the truth, and processes that scale without burning out your people.

But I've also witnessed the pitfalls: organizations rushing into AI solutions without understanding their readiness, getting locked into expensive platforms, or losing their human touch in pursuit of efficiency.

That's why I'm excited to share practical tools you can implement immediately - approaches that help you leverage AI wisely without losing your mission, avoid vendor lock-ins that drain budgets, and explore how AI can be used with integrity and creativity.

My frameworks are battle-tested methods for diagnosing where AI can truly help versus where it might harm. I'll be bringing real examples from recent client work and actionable frameworks you can start using the day after our conversation.

I am committed to helping you make informed decisions that align with your values and serve your community sustainably.

See you October 1st at CoHarbor. Let's navigate this AI landscape together - thoughtfully, practically, and ethically!",Business engineer,1 week old,Unclear ROI & Business Case,ai challenges,https://www.linkedin.com/posts/joshaguirre_join-us-october-1st-at-830-am-for-the-risks-activity-7375946881891405824-rybU?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"From room-sized machines… to laptops in our bags… to intelligence in the cloud.

The history of computers shows us one thing:

Every new era of technology doesn’t just change what we can do, it changes how we work, lead, and trust.

Now we’re stepping into the next big shift: The Era of AI.

But here’s the part most people don’t talk about 👇

AI transformation isn’t only about smarter systems. It’s about the conversations around those systems.
- Teams resisting change.
- Leaders unsure where to start.
- Security and trust under the spotlight.

That’s why I believe: The real challenge isn’t the tech. It’s the trust.

At Voice2Me.ai, we help organizations build AI voice solutions that feel natural, safe, and sustainable. Because when humans and machines can truly talk to each other, transformation doesn’t feel like disruption, it feels like progress.",Founder,sept 26,Organizational Resistance,ai challenges,https://www.linkedin.com/posts/evakarnaukh_ai-leadership-digitaltransformation-activity-7377680973926400000-PR_T?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"From room-sized machines… to laptops in our bags… to intelligence in the cloud.

The history of computers shows us one thing:

Every new era of technology doesn’t just change what we can do, it changes how we work, lead, and trust.

Now we’re stepping into the next big shift: The Era of AI.

But here’s the part most people don’t talk about 👇

AI transformation isn’t only about smarter systems. It’s about the conversations around those systems.
- Teams resisting change.
- Leaders unsure where to start.
- Security and trust under the spotlight.

That’s why I believe: The real challenge isn’t the tech. It’s the trust.

At Voice2Me.ai, we help organizations build AI voice solutions that feel natural, safe, and sustainable. Because when humans and machines can truly talk to each other, transformation doesn’t feel like disruption, it feels like progress.",Founder,sept 26,Privacy Security & Compliance,ai challenges,https://www.linkedin.com/posts/evakarnaukh_ai-leadership-digitaltransformation-activity-7377680973926400000-PR_T?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Generative AI without identity is a brilliant mind lost in translation.
It impresses with deep insight, but if it doesn’t know that Marco Shipping, Rossi & Sons, and Marco are the same entity, the results collapse into confusion. Risk is miscalculated, opportunities are missed, and reports contradict each other.
The problem isn’t the model—it’s the foundation. AI can’t operate on fractured identities.
What if we could give every customer, product, and asset a digital passport—one consistent identity recognized across the enterprise? Imagine AI grounded in a single source of truth, able to see connections clearly and act with confidence. ",Chief product officer/head,sept 26,Insufficient Data,ai challenges,https://www.linkedin.com/posts/gerard-francis-94a608_generative-ai-without-identity-is-a-brilliant-activity-7377628084788682752-gnti?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Here’s the biggest mistake I see with people adopting AI these days.

They have lots of plans on how AI’s going to save them time, 

But they have zero plans on how they are going to spend that saved time. 

You should be doing big strategic things like…

-Networking
-Building better relationships at work (including with your leaders)
-Developing a critical skill 

You will need these regardless of how big or small AI becomes. 

Get ahead of the game…

Learn and adopt AI

AND

Be strategic about using that saved time better
",Founder,Oct 1,Unclear ROI & Business Case,Ai mistakes,https://www.linkedin.com/posts/myra-deshmukh_heres-the-biggest-mistake-i-see-with-people-activity-7379130481709334528-EcdT?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,Legacy System Integration,Difficulty integrating AI with old systems.,
"How can AI systems become more trustworthy and grounded in the facts we care about daily?

Many AIs learn from the internet, but often struggle to access high-quality, real-world data. Inaccurate inputs can lead to unreliable outcomes—a challenge for developers, data scientists, and organizations relying on AI.

Google’s latest step is the release of the Data Commons MCP Server. It enables seamless access to vast public datasets—from census numbers to climate statistics—using natural language instructions. This means any AI model or app can now draw directly from structured, up-to-date information.

Why does this matter? For teams building smarter agents or training pipelines, real-world data can reduce errors and enhance relevance. Partnerships, like with the ONE Campaign, show how health and economic data can be surfaced in plain language to address complex issues.

Making public data accessible to any AI holds promise for sectors ranging from public health to city planning, and even app development. Multiple tools and open resources are available so anyone can start integrating these datasets: https://lnkd.in/dGCEE8pT",cofounder,sept 27,Insufficient Data,ai challenges,https://www.linkedin.com/posts/somesh-chaudhary-303a53350_ai-google-datacommons-activity-7377855467915673600-tAmR?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"How can AI systems become more trustworthy and grounded in the facts we care about daily?

Many AIs learn from the internet, but often struggle to access high-quality, real-world data. Inaccurate inputs can lead to unreliable outcomes—a challenge for developers, data scientists, and organizations relying on AI.

Google’s latest step is the release of the Data Commons MCP Server. It enables seamless access to vast public datasets—from census numbers to climate statistics—using natural language instructions. This means any AI model or app can now draw directly from structured, up-to-date information.

Why does this matter? For teams building smarter agents or training pipelines, real-world data can reduce errors and enhance relevance. Partnerships, like with the ONE Campaign, show how health and economic data can be surfaced in plain language to address complex issues.

Making public data accessible to any AI holds promise for sectors ranging from public health to city planning, and even app development. Multiple tools and open resources are available so anyone can start integrating these datasets: https://lnkd.in/dGCEE8pT",cofounder,sept 27,Data Quality & Bias,ai challenges,https://www.linkedin.com/posts/somesh-chaudhary-303a53350_ai-google-datacommons-activity-7377855467915673600-tAmR?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"I don’t think we’re going to “solve” documentation by generating increasingly larger quantities of content and throwing it into an AI blender.

I’ve heard some people say “some documentation is better than no documentation” and I used to agree with this. 

But now that LLM models are using our content as sources of truth, missing documentation may actually be a more reliable signal than generated AI slop that becomes outdated or even starts with incorrect information.

Well-maintained, correct, usable docs become even more critical in our AI world. The more content we generate, the greater our task is to maintain it.

We don’t solve documentation with more documentation even if we can generate it in 30 mins. We solve documentation with a focus on correctness and freshness. 

I’m not saying don’t use AI. I’m saying have a plan for how this content stays relevant. If we bury ourselves in slop, our AI tools will become an active hindrance. My concern is about one way of potentially using AI and the documentation problem that is thereby amplified.",Senior Technical Writer,1 week ago,Data Quality & Bias,Ai tools problems,https://www.linkedin.com/posts/erinkrovelstad_i-dont-think-were-going-to-solve-documentation-activity-7377037472154824704-5n5u?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"I don’t think we’re going to “solve” documentation by generating increasingly larger quantities of content and throwing it into an AI blender.

I’ve heard some people say “some documentation is better than no documentation” and I used to agree with this. 

But now that LLM models are using our content as sources of truth, missing documentation may actually be a more reliable signal than generated AI slop that becomes outdated or even starts with incorrect information.

Well-maintained, correct, usable docs become even more critical in our AI world. The more content we generate, the greater our task is to maintain it.

We don’t solve documentation with more documentation even if we can generate it in 30 mins. We solve documentation with a focus on correctness and freshness. 

I’m not saying don’t use AI. I’m saying have a plan for how this content stays relevant. If we bury ourselves in slop, our AI tools will become an active hindrance. My concern is about one way of potentially using AI and the documentation problem that is thereby amplified.",Senior Technical Writer,1 week ago,Insufficient Data,Ai tools problems,https://www.linkedin.com/posts/erinkrovelstad_i-dont-think-were-going-to-solve-documentation-activity-7377037472154824704-5n5u?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"If the results of AI are not good, its not AI - Its YOU !!! You Need to learn to PROMPT !

Try to get these results for you with your prompt, if can't, comment ""Banana"" I will DM the prompt list to you. 😊 
-------------------------------------------
Its not about getting a solution or image for fun. Its about learning from the ""PROMPT KEY"" so that next time you can create your own prompts.",L&D leader,1 week ago,ai talent shortage,Ai tools problems,https://www.linkedin.com/posts/swapnil-chandra-mohan-tiwari-49986b156_gen-ai-business-fun-or-business-with-fun-activity-7376311583469264896-iAKE?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"If you’re brilliant but spend your day on ESPN and YouTube, you won’t get far.
 If you’re brilliant but let AI do all the thinking, you won’t get far either.
Every major wave of technology has come with both promise and pitfalls.
Computers made people more productive, but also more distracted.
 The internet put the world’s knowledge at our fingertips—and made many of us addicted to something bad.
AI is no different. Some fear it’s making us lazy or sloppy. Others see it as a powerful advantage.
Success isn’t just about you. It’s also about how you use the tools around you.
 The people who do best aren’t the ones who fight new technology, 
 but the ones who embrace it without being dragged down by its shortcomings.

Here’s to me following my own advice 😉 
",chief economist,sept 29,ai talent shortage,Ai pitfalls,https://www.linkedin.com/posts/gad-levanon-3b9b933_ai-technology-careers-activity-7378868738609246208-G6DT?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Is 95% accuracy impressive? 🤔

What happens when your AI hallucinates in the 5% of situations that are most critical?

Case in point: At Thomson Reuters, the CoCounsel team was migrating their Review Documents skill to a new AI model. 

On paper, the model’s benchmark scores looked stronger, but when their attorney SMEs tested it with Scorecard, a simple testcase failed:

""What medications is the patient currently taking?""

The model gave inconsistent answers:

- At times it failed to identify either of the two active prescriptions
- Other times it introduced medications that were no longer current

In a legal setting, that’s a serious liability.

This is how AI fails in the real world:

- Passes 95% of clean tests
- Collapses when real users ask messy, high-stakes questions

Because the issue was caught in staging, the CoCounsel team fixed it before release. Without structured testing, those errors could have reached client work across thousands of firms.

What AI failure have you seen shipped to production?",CEO,sept 29,Data Quality & Bias,Ai errors,https://www.linkedin.com/posts/dariusemrani_is-95-accuracy-impressive-what-happens-activity-7378548673997066241-F78Q?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"It was a pleasure to speak on a panel about scaling AI infrastructure and managing costs—a challenge I work on every day at the intersection of accelerated data processing, cloud platforms, and AI strategy.

From my experience, the economics of AI aren’t just about compute. They’re shaped by:

1. Data preparation & processing bottlenecks that dictate performance at scale
2. Hidden costs of ungoverned AI adoption across business units

AI is no longer an experimental initiative. It’s an operational backbone. Getting the economics right is key to scaling responsibly.
",VP product and marketing,sept 27,High Costs & Resource Intensity,ai challenges,https://www.linkedin.com/posts/alaydesai_ai-infrastructure-strategy-build-buy-and-activity-7377860848439984128-S6D-?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"It was a pleasure to speak on a panel about scaling AI infrastructure and managing costs—a challenge I work on every day at the intersection of accelerated data processing, cloud platforms, and AI strategy.

From my experience, the economics of AI aren’t just about compute. They’re shaped by:

1. Data preparation & processing bottlenecks that dictate performance at scale
2. Hidden costs of ungoverned AI adoption across business units

AI is no longer an experimental initiative. It’s an operational backbone. Getting the economics right is key to scaling responsibly.
",VP product and marketing,sept 27,Integration with Legacy Systems,ai challenges,https://www.linkedin.com/posts/alaydesai_ai-infrastructure-strategy-build-buy-and-activity-7377860848439984128-S6D-?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
"Managing the Amazon Web Services (AWS) and ServiceNow alliance has given me a front-row seat to customer innovation—and at the Genesys CX Tour in Manila and Bangkok, “front row” was literal and figurative :) 
 
Grateful for the unwavering support from Chatcharoen Chivakanit, Ceejay Dideles Jr. Olivier Schröder Varit Ovadhana Darius Lin Gwen Chan – their expertise, sharing of real-world customer examples across verticals in ASEAN, clear data points on what it takes to succeed and enthusiasm made this discussion richer. 

While everyone has embarked on an AI project an, the most common challenges organizations face in scaling AI isn't the technology itself—it's everything around it: the people, strategy, and business case.

1.     Building a cool bot is fun, but if the math doesn’t add up, even the best tech gets shelved. Measurable ROI isn’t optional
2.     Leadership buy-in shouldn’t just be a well-crafted email. True scale demands cross-functional investment and executives
3.     AI transformation isn’t plug-and-play—people readiness is the biggest barrier. Without continuous upskilling and literacy, the project kicks off but never lands


A massive thank you to the willing, engaged customers whose insightful questions and energetic participation transformed the session into a true exchange of ideas!

",Director,sept 27,Organizational Resistance,ai challenges,https://www.linkedin.com/posts/ashoksankaran_managing-the-amazon-web-services-aws-and-activity-7377862115241447424-I1v2?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC1KzP8B4Xl6iNe6FF5NuiHM8xL92C-yiJE,,,,,,
